acry,full_form
ADD,architecture deﬁnition document
ADF,automatic direction ﬁnder
ADF,automatic display ﬁnder
ADFRF,Ames/Dryden Flight Research Facility
ADH,advanced development hardware
ADI,analytic and design investigation
ADI,attitude direction indicator
ADI,attitude director indicator
ADI,attitude display indicator
ADIC,Air Defense Intelligence Center
ADL,Ada design language
ADL,Ada-based design language
ADL,Advanced Development Laboratory
ADL,Avionics Development Laboratory
ADM,air data management
ADMS,automated data management system
ADOP,advanced distributed on-board processor
ADP,acceptance data package
ADP,acceptance documentation package
ADP,Advanced Development Program (NASA)
ADP,air data package
ADP,air data probe
ADP,automated data processing
ADP,automatic data processing
ADPA,air data probe assembly
ADPE,automated data processing equipment
ADPE,automatic data processing equipment
ADPF,automated data processing facility
ADPL,as-designed parts list
ADPS,acceptance data package system
ADPSSM,ADP system security monitor
ADR,Aerospace and Defense Research
ADRL,automatic drawing release list
ADS,air data sensor
ADS,air data system (subsystem)
ADS,angular displacement sensor
ADS,ascent design system
ADS,attitude determination subsystem
ADS,attitude display system
ADS,audio distribution system
ADSA,alternate demonstration structural article
ADSF,automatic directional solidiﬁcation furnace
ADT,air data transfer
ADTA,air data transducer assembly
ADU,annunciator display unit
ADU,ascent driver unit
AE,architectural and engineering
AEB,aft equipment bay
AEC,aft end cone
AEC,aft events controller
AEC,American Engineering Council
AEC,Atomic Energy Commission
AECS,area entry control system
AECS,automated entry control system
AED,Aerospace Electrical Division (Westinghouse)
AED,analog event distributor
AEDC,Arnold Engineering Development Center
AEDS,analog event distribution system
AEM,acoustical emission monitoring
AEM,arsenal exchange model
AEM,assembly and external maintenance
AEOP,adaptive electro-optical processor
AER,Atomic Energy Research
AERO,Aeroballistics (MSFC)
AES,advanced electrical schematic
AES,American Electrochemical Society
AES,American Electroplaters Society
AES,analog event system
AES,atmosphere exchange system
AES,Auger electron spectroscopy
AESOP,an easy system of programming
AET,aerosurface end-to-end test
AET,algorithm evaluation and test
AETB,alumina-enhanced thermal barrier
AETL,approved engineering test laboratory
AF,aft fuselage
AF,Air Force
AF,airframe
AF,audio frequency
AF,award fee
AF/DBS,areal ﬂuid data base system
AF/IN,Air Force/Intelligence
AFA,airframe assembly
AFA,American Foundrymen's Association
AFAD,armed forces acquisition document
AFAL,Air Force Astronautics Laboratory
AFAL,Air Force Avionics Laboratory
AFALD,Air Force Acquisition Logistics Division (WPAFB)
AFAPL,Air Force Aero Propulsion Laboratory
AFATL,Air Force Armaments Test Laboratory
AFB,Air Force base
AFBMA,Antifriction Bearing Manufacturing Association
AFBMD,Air Force Ballistic Missile Division
AFC,aerodynamic ﬂight control
AFC,automatic ﬂight control
AFC,automatic frequency control
AFCS,automatic ﬂight control system
AFCSC,Air Force Cryptologic Support Center
AFD,acceptance for data
AFD,aft ﬂight deck
AFD,assistant ﬂight director
AFDE,aft ﬂight deck equipment
AFDO,aft ﬂight deck operator
AFDR,ascent ﬂight design review
AFE,Aeroassist Flight Experiment
AFEB,Award Fee Evaluation Board
AFEC,Award Fee Evaluation Committee
AFESD,Air Force Electronic Systems Division
AFETR,Air Force Eastern Test Range
AFETRM,Air Force Eastern Test Range Manual
AFEV,Air Force experiment vehicle
AFF,acceptance and ferry ﬂight
AFFDL,Air Force Flight Dynamics Laboratory
AFFTC,Air Force Flight Test Center (EAFB)
AFFTC/RPL,Air Force Flight Test Center/Rocket Propulsion
AFGE,American Federation of Government Employees
AFGL,Air Force Geophysics Laboratory
AFGWC,Air Force Global Weather Center
AFI,automatic fault isolation
AFLC,Air Force Logistics Command
AFM,Air Force manual
AFM,arm/ﬁring mechanism
AFMDC,Air Force Missile Development Center
AFML,Air Force Materials Laboratory
AFMTC,Air Force Missile Test Center
AFO,abort from orbit
AFO,announced ﬂight opportunity
AFOSH,Air Force Occupational Safety and Health
AFOTEC,Air Force Operational Test and Evaluation Center
AFP,advanced ﬂexible processor
AFP,Air Force plant
AFP,Ariane-furnished property
AFP888,designation for P80-1 spacecraft
AFPC,Air Force Program Control
AFPD,authorization for program development
AFPM,Air Force program manager
AFPR,Air Force plant representative
AFR,Air Force regulation
AFRPL,Air Force Rocket Propulsion Laboratory (EAFB)
AFRSI,advanced ﬂexible reusable surface insulation
AFS,Air Force standard
AFS,Air Force station
AFS,ascent ﬂight system
AFSA,Air Force study and analysis
AFSAT,Air Force satellite
AFSATCOM,Air Force satellite communication(s)
AFSC,Air Force Space Command
AFSC,Air Force specialty code
AFSC,Air Force Systems Command
AFSCF,Air Force Satellite Control Facility
AFSCF,Air Force Space Command Facility
AFSCF,Air Force Systems Command Facility
AFSCN,Air Force satellite control network
AFSCN,Air Force Space Command network
AFSCS,Air Force satellite communications system
AFSD,Air Force Space Division
AFSIE,Air Force standard items and equipment
AFSIG,Ascent Flight System Integration Group
AFSLV,Air Force space launch vehicle
AFSRT,avionics ﬂight systems readiness test
AFSSD,Air Force Space Systems Division
AFSTC,Air Force Satellite Test Center
AFSTC,Air Force Space Technology Center
AFSTC,Air Force Space Technology Command
AFSWC,Air Force Special Weapons Center (Holloman AFB)
AFT,active ﬁne tracker
AFT,aerodynamic ﬂight test
AFT,atmospheric ﬂight test
AFTA,acoustic fatigue test article
AFTA,aft frame tilt actuator
AFTEC,Air Force Test and Evaluation Center
AFTOC,Air Force Tactical Operations Center
AFTP,Air Force test procedure
AFTS,aft fuselage thrust structure
AFWAL,Air Force Weapons Analysis Laboratory
AFWAL,Air Force Wright Aeronautical Laboratory
AFWAL/ML,Air Force Wright Aeronautical Lals Laboratory
AFWL,Air Force Weapons Laboratory
AFWPAL,Air Force Wright-Patterson Aeropropulsion Laboratory
AFWSG,Air Force Weapons System Group
AFWTR,Air Force Western Test Range
AG,artiﬁcial gravity
AG,attitude gyro
AGAA,attitude gyro accelerometer assembly
AGAP,attitude gyro accelerometer package
AGARD,Advisory Group for Aeronautical Research and Development
AGC,Aerojet General Corporation
AGC,automatic gain control
AGCA,automatic ground-controlled approach
AGCS,automatic ground control station
AGCU,air/ground cooling unit
AGCU,attitude gyro coupling unit
AGE,aerospace ground equipment
AGE,air/ground equipment
AGE,automatic ground equipment
AGI,agreement item
AGL,above ground level
AGL,above-ground link
AGL,absolute ground level
AGMA,American Gear Manufacturer's Association
AGMC,Aerospace Guidance and Metrology Center
AGN&C,"advanced guidance, navigation, and control"
AGO,"Santiago, Chile (STDN)"
AGOES,advanced geosynchronous observation environment
AGOSS,automated ground operations scheduling system (KSC)
AGREE,Advisory Group in Reliability of Electronic Equipment
AGS,abort guidance system
AGS,antigravity suit
AGS,ASPS gimbal system
AGT,adaptive guidance throttling
AH,ampere hour
AH,attitude hold
AHCS,advanced helicopter control system
AHI,artiﬁcial horizon indicator
AHM,automatic hold mode
AHP,analytical hierarchy process
AHP,pitch axis attitude hold
AHR,ablative heat rate
AHR,roll axis attitude hold
AHRS,attitude heading reference system
AHS,aft heat shield
AI,action item
AI,airspeed indicator
AI,altimeter indicator
AI,altitude indicator
AI,anti-icing
AI,artiﬁcial intelligence
AI,associate investigator
AI/ES,artiﬁcial intelligence/expert system
AIA,Aircraft Industries Association
AIAA,American Institute of Aeronautics and Astronautics
AICBM,anti-ICBM
AICC,action item control card
AICE,American Institute of Chemical Engineers
AICP,aerodynamic instrumental coe
AICS,action item closeout sheet
AID,abbreviated item description
AID,action item disposition
AID,analog input di
AID,audit item disposition
AIDE,aerospace installation diagnostic equipment
AIDS,airborne integrated data system (subsystem)
AIEE,American Institute of Electrical Engineers
AIIM,Association for Information and Image Management
AIL,Avionics Integration Laboratories
AILAS,automatic instrument landing approach system
AILS,automatic instrument landing system
AIM,automatic information management
AIME,American Institute of Mechanical Engineers
AIOD,ascent insertion on-orbit deorbit
AIP,aircraft instrumented payload
AIP,avionics integration plan
AIR,action item report
AIR,adaptive intercommunication requirement
AIS,action item sheet
AIS,airborne imaging spectrometer
AIS,airlock illumination subassembly
AIS,analog-in single-ended
AISC,American Institute of Steel Construction
AISD,Autonetics ICBM Systems Division (Rockwell)
AISI,American Iron and Steel Institute
AIST,abbreviated integration system test
AIST,advanced interferometric system technology
AIST,Agency of Industrial Science and Technology
AISTR,advanced interferometric system technology requirement
AIT,autoignition test
AIU,abort interface unit
AIU,avionics interface unit
AJ,antijamming
AJ,assembly jig
AJCS,automated job card system
AKA,active keel actuator
AKM,apogee kick motor
AL,airlock
AL,approach and landing
AL,autoland
ALAS,approach/landing autopilot subsystem
ALASAT,air-launched antisatellite
ALASS,alternate low-altitude surveillance system
ALB,acceptance log book
ALC,aft load controller
ALC,air logistics center
ALC,audio load compensator
ALC,automatic level control
ALC,automatic light control
ALCA,aft load controller assembly
ALCA,automatic level-control assembly
ALCC,Airborne Launch Control Center
ALCM,air-launched cruise missile
ALCOA,Aluminum Corporation of America
ALCOM,algorithm line-of-sight comparison
ALDC,automatic load and drive control
ALDO,activity-level-dependent operation
ALE,Airborne Laser Experiment
ALE,airport lighting equipment
ALERT,acute launch emergency reliability tip
ALERT,acute launch emergency restraint tip
ALFA,air-lubricated free attitude
ALFT,approach and landing ﬂight test
ALGOL,algorithmic language
ALIO,activity-level-independent operation
ALL,Airborne Laser Laboratory
ALMS,automated logistics management system
ALOSA,algorithm line-of-sight angle
ALPS,advanced liquid propulsion system
ALPS,approach and landing procedures simulator
ALRC,Aerojet Liquid Rocket Company
ALRUTS,automated line replaceable unit tracking system (KSC)
ALS,Ada language system
ALS,advanced launch system
ALS,advanced logistics system
ALS,airlock system
ALS,alternative landing site
ALS,approach/landing system
ALS,automatic landing system
ALSA,astronaut life support assembly
ALSE,astronaut life support equipment
ALSEMP,ALS Engineering Management Plan
ALSGEM,ALS global evaluation module
ALSS,advanced life support system
ALSS,airlock support system (subsystem)
ALSSSWG,ALS System Security Working Group
ALSSW,ALS software
ALSYM,ALS model
ALT,approach and landing test
ALTR,approach and landing test requirement
ALTS,avionics LRU tracking system
ALU,arithmetic/logic unit
ALV,advanced launch vehicle
ALV,advanced logistics vehicle
ALVIB,algorithm payload vibration
AM,actuator mechanism
AM,Administration and Management Operations (KSC
AM,aeromedical monitor
AM,airlock module
AM,alpha meter
AM,amplitude modulated
AM,amplitude modulation
AM,antenna management
AM,assurance management
AMAL,Aeronautical Medical Acceleration Laboratory
AMAL,Aviation Medical Acceleration Laboratory
AMBD,automated maintenance data base
AMC,aft motor controller
AMC,Air Material Command
AMC,Army Missile Command
AMC,automatic manual control
AMC,automatic mixture control
AMCA,aft motor controller assembly
AMCC,ADL master control console
AMCM,advanced missions cost model
AMCR,automated master change record
AMDCS,assurance management document control system
AMDS,advanced missions docking system (subsystem)
AME,abort maneuver evaluator
AMEC,aft master events controller
AMEU,alpha/Mach indicator electronic unit
AMF,abort motor facility
AMF,apogee memory image
AMFL,Aeromedical Field Laboratory
AMG,Activation Management Group
AMG,angle of the middle gimbal
AMI,airspeed/Mach indicator
AMI,alpha/Mach indicator
AMI,apogee memory image
AMIC,Automated Management Information Center
AMIS,acquisition management information system
AMK,aircraft modiﬁcation kit
AML,approved materials list
AMLC,asynchronous multiline controller
